case_id,kappa,theta0_target_rad,phi_deg,alpha,beta,Qx_ref,Qy_ref,x_tip_ref_mm,y_tip_ref_mm,Fx_N,Fz_N,Mx_Nm,load_description
1,0,0.5,90,0.54984,0.0,0.93378,0.32591,93.37775,32.59074,0,-0.09164,0.0,pure force low deflection
2,0,1.0,90,1.5435,0.0,0.73836,0.61037,73.83564,61.03718,0,-0.25725,0.0,pure force medium deflection
3,0,1.4,90,4.40321,0.0,0.47308,0.79655,47.30779,79.65534,0,-0.73387,0.0,pure force high deflection
4,1,1.0,90,0.18537,0.8611,0.82919,0.48186,82.9189,48.1862,0,-0.0309,-0.00717585,mixed load sensitive case
5,1,2.0,90,0.86948,1.86492,0.40943,0.74275,40.94263,74.27531,0,-0.14491,-0.01554098,mixed load sensitive case
6,1,2.5,90,1.89869,2.75586,0.19181,0.75806,19.18147,75.80551,0,-0.31645,-0.02296548,high-slope sensitive case
7,2,1.0,90,0.10582,0.92007,0.83449,0.47249,83.44889,47.24924,0,-0.01764,-0.00766721,mixed force and moment
8,2,2.0,90,0.46042,1.91921,0.42953,0.72779,42.95277,72.77887,0,-0.07674,-0.0159934,mixed force and moment
9,50,1.0,90,0.00496,0.99621,0.84115,0.46031,84.11455,46.03062,0,-0.00083,-0.00830178,moment-dominant
10,50,2.5,90,0.03133,2.50308,0.23838,0.72122,23.83827,72.12245,0,-0.00522,-0.02085903,high moment-dominant
